,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segment
0,458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,4
1,458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,5
3,459000,Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,0
5,459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,2
6,459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,2
7,459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,2
8,459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,2
9,459014,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,1
10,459015,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,1
11,459016,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,1
12,459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,2
13,459026,Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,5
14,459032,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,1
15,459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,3
16,459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,1
17,459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,4
18,459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,0
19,459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,3
22,459058,Male,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,1
24,459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,0
25,459064,Male,Yes,27,No,Executive,5.0,High,4.0,Cat_6,5
27,459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,1
28,459077,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,3
30,459080,Male,Yes,89,No,Lawyer,1.0,Low,2.0,Cat_6,3
32,459090,Male,No,31,No,Artist,1.0,Low,2.0,Cat_6,4
33,459091,Male,Yes,72,Yes,Artist,1.0,Average,6.0,Cat_1,2
35,459100,Female,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,0
36,459106,Male,Yes,62,Yes,Artist,0.0,Low,2.0,Cat_6,3
37,459114,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,3
38,459116,Male,Yes,60,Yes,Artist,2.0,Average,5.0,Cat_6,2
39,459117,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,3
41,459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,0
42,459120,Male,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,1
43,459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,2
44,459123,Female,Yes,86,No,Artist,1.0,High,2.0,Cat_6,3
45,459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,3
46,459132,Male,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,0
47,459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,3
48,459140,Female,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,5
49,459143,Male,Yes,50,No,Artist,0.0,High,4.0,Cat_6,2
52,459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,4
53,459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,3
54,459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,2
55,459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,3
56,459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,4
57,459167,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,4
58,459170,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,4
59,459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,4
60,459172,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,1
61,459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,3
62,459181,Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6,3
63,459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,3
64,459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,2
65,459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,0
66,459193,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,4
67,459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,3
68,459196,Female,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,1
69,459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3,3
70,459209,Female,No,18,No,Entertainment,0.0,Low,4.0,Cat_6,1
71,459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,3
72,459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6,3
73,459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6,1
74,459216,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,4
75,459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,3
77,459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6,3
78,459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,2
79,459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,3
80,459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,5
81,459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6,2
82,459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,3
83,459237,Male,No,33,Yes,Artist,1.0,Low,6.0,Cat_6,1
84,459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,4
85,459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6,2
87,459263,Female,No,30,No,Healthcare,9.0,Low,4.0,Cat_6,5
88,459264,Female,No,35,Yes,Artist,0.0,Low,2.0,Cat_6,4
89,459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,5
90,459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6,3
91,459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,3
92,459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4,4
93,459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,4
94,459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,4
95,459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,3
96,459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,4
98,459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6,3
100,459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,3
101,459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,4
102,459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,4
103,459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6,4
104,459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,1
105,459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6,4
108,459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6,0
109,459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6,3
110,459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6,3
111,459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6,2
112,459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,2
113,459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6,0
118,459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,3
119,459363,Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,4
120,459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6,3
122,459375,Male,Yes,22,No,Executive,0.0,High,4.0,Cat_6,1
123,459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,2
124,459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,4
125,459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,2
126,459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7,4
127,459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6,3
128,459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6,1
129,459394,Male,No,28,No,Entertainment,8.0,Low,2.0,Cat_6,0
130,459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,3
134,459405,Female,Yes,78,No,Doctor,1.0,High,2.0,Cat_6,3
135,459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6,4
136,459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,3
137,459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6,3
140,459415,Male,No,30,No,Doctor,0.0,Low,4.0,Cat_6,1
141,459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,3
142,459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6,3
143,459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6,3
144,459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6,1
146,459423,Male,No,21,No,Healthcare,8.0,Low,5.0,Cat_6,5
148,459428,Female,No,39,No,Marketing,0.0,Low,2.0,Cat_4,4
149,459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,3
150,459436,Female,No,66,Yes,Artist,0.0,Low,2.0,Cat_6,3
151,459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,3
152,459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,2
153,459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,0
155,459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,4
158,459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6,4
