,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segment
0,458989,0,1,36,1,Engineer,0.0,Low,1.0,Cat_6,4
1,458994,1,1,37,1,Healthcare,8.0,Average,4.0,Cat_6,4
3,459000,1,1,59,0,Executive,11.0,High,2.0,Cat_6,5
5,459003,1,1,47,1,Doctor,0.0,High,5.0,Cat_4,3
6,459005,1,1,61,1,Doctor,5.0,Low,3.0,Cat_6,4
7,459008,0,1,47,1,Artist,1.0,Average,3.0,Cat_6,6
8,459013,1,1,50,1,Artist,2.0,Average,4.0,Cat_6,1
9,459014,1,0,19,0,Healthcare,0.0,Low,4.0,Cat_6,6
10,459015,1,0,22,0,Healthcare,0.0,Low,3.0,Cat_6,3
11,459016,0,0,22,0,Healthcare,0.0,Low,6.0,Cat_6,1
12,459024,1,1,50,1,Artist,1.0,Average,5.0,Cat_6,3
13,459026,1,0,27,0,Healthcare,8.0,Low,3.0,Cat_3,5
14,459032,1,0,18,0,Doctor,0.0,Low,3.0,Cat_6,4
15,459033,0,1,61,1,Artist,0.0,Low,1.0,Cat_6,2
16,459036,0,1,20,1,Lawyer,1.0,Average,3.0,Cat_3,6
17,459039,1,1,45,1,Artist,1.0,Average,2.0,Cat_6,2
18,459041,1,1,55,1,Artist,8.0,Low,1.0,Cat_6,4
19,459045,0,1,88,1,Lawyer,1.0,Average,4.0,Cat_6,6
22,459058,1,0,42,1,Artist,0.0,Low,4.0,Cat_3,2
24,459061,0,1,35,1,Healthcare,9.0,High,3.0,Cat_6,4
25,459064,1,1,27,0,Executive,5.0,High,4.0,Cat_6,4
27,459074,0,0,29,1,Healthcare,0.0,Low,4.0,Cat_4,1
28,459077,0,1,79,0,Lawyer,1.0,High,2.0,Cat_6,6
30,459080,1,1,89,0,Lawyer,1.0,Low,2.0,Cat_6,4
32,459090,1,0,31,0,Artist,1.0,Low,2.0,Cat_6,2
33,459091,1,1,72,1,Artist,1.0,Average,6.0,Cat_1,0
35,459100,0,0,61,1,Artist,11.0,Low,1.0,Cat_6,1
36,459106,1,1,62,1,Artist,0.0,Low,2.0,Cat_6,1
37,459114,1,1,56,1,Artist,1.0,Average,2.0,Cat_6,2
38,459116,1,1,60,1,Artist,2.0,Average,5.0,Cat_6,2
39,459117,1,1,68,1,Artist,0.0,High,2.0,Cat_6,4
41,459119,1,1,57,1,Executive,8.0,High,3.0,Cat_6,1
42,459120,1,0,19,0,Healthcare,5.0,Low,5.0,Cat_2,5
43,459121,0,1,51,1,Artist,3.0,Average,6.0,Cat_6,2
44,459123,0,1,86,0,Artist,1.0,High,2.0,Cat_6,5
45,459130,0,1,74,0,Lawyer,1.0,High,2.0,Cat_6,4
46,459132,1,0,23,0,Entertainment,6.0,Low,2.0,Cat_6,6
47,459136,1,1,47,1,Artist,0.0,Average,2.0,Cat_6,3
48,459140,0,0,19,0,Healthcare,7.0,Low,6.0,Cat_6,1
49,459143,1,1,50,0,Artist,0.0,High,4.0,Cat_6,0
52,459150,0,0,48,1,Doctor,0.0,Low,1.0,Cat_6,1
53,459160,1,1,70,1,Doctor,1.0,Average,2.0,Cat_6,3
54,459161,1,1,50,1,Executive,3.0,High,5.0,Cat_6,0
55,459162,0,1,83,1,Lawyer,0.0,High,2.0,Cat_6,2
56,459163,1,0,35,1,Entertainment,0.0,Low,1.0,Cat_6,2
57,459167,0,0,36,1,Artist,0.0,Low,2.0,Cat_5,5
58,459170,0,0,35,1,Artist,1.0,Low,1.0,Cat_6,4
59,459171,1,1,35,1,Artist,0.0,Average,2.0,Cat_6,3
60,459172,1,0,18,0,Healthcare,3.0,Low,3.0,Cat_2,5
61,459175,0,1,73,1,Artist,1.0,Average,2.0,Cat_6,1
62,459181,1,1,62,0,Artist,1.0,High,3.0,Cat_6,0
63,459182,0,1,46,1,Artist,1.0,Average,2.0,Cat_6,3
64,459184,1,1,43,1,Entertainment,0.0,Low,4.0,Cat_4,0
65,459185,0,0,32,1,Entertainment,7.0,Low,1.0,Cat_6,0
66,459193,1,0,39,1,Artist,0.0,Low,1.0,Cat_6,6
67,459194,0,1,89,1,Lawyer,0.0,High,2.0,Cat_6,1
68,459196,0,0,18,0,Healthcare,0.0,Low,3.0,Cat_4,1
69,459208,0,1,57,1,Artist,0.0,High,2.0,Cat_3,2
70,459209,0,0,18,0,Entertainment,0.0,Low,4.0,Cat_6,6
71,459210,0,1,71,1,Artist,1.0,High,2.0,Cat_6,0
72,459212,0,1,69,1,Artist,0.0,Average,2.0,Cat_6,4
73,459213,0,0,42,1,Healthcare,0.0,Low,4.0,Cat_6,4
74,459216,0,0,36,1,Artist,0.0,Low,2.0,Cat_6,2
75,459220,0,1,80,1,Lawyer,1.0,High,2.0,Cat_6,3
77,459222,0,1,67,1,Artist,0.0,Average,3.0,Cat_6,5
78,459223,0,1,47,1,Doctor,1.0,Average,4.0,Cat_6,6
79,459224,0,1,49,1,Artist,0.0,Average,2.0,Cat_6,6
80,459227,0,1,32,0,Engineer,9.0,Low,4.0,Cat_6,4
81,459229,0,1,65,1,Lawyer,1.0,Average,4.0,Cat_6,0
82,459236,0,1,78,0,Lawyer,0.0,High,2.0,Cat_6,3
83,459237,1,0,33,1,Artist,1.0,Low,6.0,Cat_6,3
84,459244,1,1,48,1,Artist,1.0,Low,1.0,Cat_6,0
85,459247,1,1,58,1,Executive,1.0,Average,5.0,Cat_6,1
87,459263,0,0,30,0,Healthcare,9.0,Low,4.0,Cat_6,6
88,459264,0,0,35,1,Artist,0.0,Low,2.0,Cat_6,1
89,459266,1,0,32,1,Healthcare,6.0,Low,5.0,Cat_6,5
90,459270,1,1,69,1,Homemaker,1.0,High,2.0,Cat_6,3
91,459284,0,1,71,1,Lawyer,1.0,High,2.0,Cat_6,6
92,459287,1,0,43,1,Lawyer,0.0,Low,1.0,Cat_4,3
93,459288,1,1,37,1,Artist,0.0,Low,2.0,Cat_6,6
