,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segment
0,458989,0,1,36,1,Engineer,0.0,Low,1.0,Cat_6,5
1,458994,1,1,37,1,Healthcare,8.0,Average,4.0,Cat_6,1
3,459000,1,1,59,0,Executive,11.0,High,2.0,Cat_6,0
5,459003,1,1,47,1,Doctor,0.0,High,5.0,Cat_4,2
6,459005,1,1,61,1,Doctor,5.0,Low,3.0,Cat_6,0
7,459008,0,1,47,1,Artist,1.0,Average,3.0,Cat_6,2
8,459013,1,1,50,1,Artist,2.0,Average,4.0,Cat_6,2
9,459014,1,0,19,0,Healthcare,0.0,Low,4.0,Cat_6,3
10,459015,1,0,22,0,Healthcare,0.0,Low,3.0,Cat_6,3
11,459016,0,0,22,0,Healthcare,0.0,Low,6.0,Cat_6,3
12,459024,1,1,50,1,Artist,1.0,Average,5.0,Cat_6,2
13,459026,1,0,27,0,Healthcare,8.0,Low,3.0,Cat_3,1
14,459032,1,0,18,0,Doctor,0.0,Low,3.0,Cat_6,3
15,459033,0,1,61,1,Artist,0.0,Low,1.0,Cat_6,0
16,459036,0,1,20,1,Lawyer,1.0,Average,3.0,Cat_3,3
17,459039,1,1,45,1,Artist,1.0,Average,2.0,Cat_6,2
18,459041,1,1,55,1,Artist,8.0,Low,1.0,Cat_6,0
19,459045,0,1,88,1,Lawyer,1.0,Average,4.0,Cat_6,3
22,459058,1,0,42,1,Artist,0.0,Low,4.0,Cat_3,5
24,459061,0,1,35,1,Healthcare,9.0,High,3.0,Cat_6,1
25,459064,1,1,27,0,Executive,5.0,High,4.0,Cat_6,1
27,459074,0,0,29,1,Healthcare,0.0,Low,4.0,Cat_4,4
28,459077,0,1,79,0,Lawyer,1.0,High,2.0,Cat_6,3
30,459080,1,1,89,0,Lawyer,1.0,Low,2.0,Cat_6,3
32,459090,1,0,31,0,Artist,1.0,Low,2.0,Cat_6,4
33,459091,1,1,72,1,Artist,1.0,Average,6.0,Cat_1,0
35,459100,0,0,61,1,Artist,11.0,Low,1.0,Cat_6,0
36,459106,1,1,62,1,Artist,0.0,Low,2.0,Cat_6,0
37,459114,1,1,56,1,Artist,1.0,Average,2.0,Cat_6,0
38,459116,1,1,60,1,Artist,2.0,Average,5.0,Cat_6,0
39,459117,1,1,68,1,Artist,0.0,High,2.0,Cat_6,0
41,459119,1,1,57,1,Executive,8.0,High,3.0,Cat_6,0
42,459120,1,0,19,0,Healthcare,5.0,Low,5.0,Cat_2,3
43,459121,0,1,51,1,Artist,3.0,Average,6.0,Cat_6,2
44,459123,0,1,86,0,Artist,1.0,High,2.0,Cat_6,3
45,459130,0,1,74,0,Lawyer,1.0,High,2.0,Cat_6,0
46,459132,1,0,23,0,Entertainment,6.0,Low,2.0,Cat_6,3
47,459136,1,1,47,1,Artist,0.0,Average,2.0,Cat_6,2
48,459140,0,0,19,0,Healthcare,7.0,Low,6.0,Cat_6,3
49,459143,1,1,50,0,Artist,0.0,High,4.0,Cat_6,2
52,459150,0,0,48,1,Doctor,0.0,Low,1.0,Cat_6,2
53,459160,1,1,70,1,Doctor,1.0,Average,2.0,Cat_6,0
54,459161,1,1,50,1,Executive,3.0,High,5.0,Cat_6,2
55,459162,0,1,83,1,Lawyer,0.0,High,2.0,Cat_6,3
56,459163,1,0,35,1,Entertainment,0.0,Low,1.0,Cat_6,5
57,459167,0,0,36,1,Artist,0.0,Low,2.0,Cat_5,5
58,459170,0,0,35,1,Artist,1.0,Low,1.0,Cat_6,5
59,459171,1,1,35,1,Artist,0.0,Average,2.0,Cat_6,5
60,459172,1,0,18,0,Healthcare,3.0,Low,3.0,Cat_2,3
61,459175,0,1,73,1,Artist,1.0,Average,2.0,Cat_6,0
62,459181,1,1,62,0,Artist,1.0,High,3.0,Cat_6,0
63,459182,0,1,46,1,Artist,1.0,Average,2.0,Cat_6,2
64,459184,1,1,43,1,Entertainment,0.0,Low,4.0,Cat_4,5
65,459185,0,0,32,1,Entertainment,7.0,Low,1.0,Cat_6,1
66,459193,1,0,39,1,Artist,0.0,Low,1.0,Cat_6,5
67,459194,0,1,89,1,Lawyer,0.0,High,2.0,Cat_6,3
68,459196,0,0,18,0,Healthcare,0.0,Low,3.0,Cat_4,3
69,459208,0,1,57,1,Artist,0.0,High,2.0,Cat_3,0
70,459209,0,0,18,0,Entertainment,0.0,Low,4.0,Cat_6,3
71,459210,0,1,71,1,Artist,1.0,High,2.0,Cat_6,0
72,459212,0,1,69,1,Artist,0.0,Average,2.0,Cat_6,0
73,459213,0,0,42,1,Healthcare,0.0,Low,4.0,Cat_6,5
74,459216,0,0,36,1,Artist,0.0,Low,2.0,Cat_6,5
75,459220,0,1,80,1,Lawyer,1.0,High,2.0,Cat_6,3
77,459222,0,1,67,1,Artist,0.0,Average,3.0,Cat_6,0
78,459223,0,1,47,1,Doctor,1.0,Average,4.0,Cat_6,2
79,459224,0,1,49,1,Artist,0.0,Average,2.0,Cat_6,2
80,459227,0,1,32,0,Engineer,9.0,Low,4.0,Cat_6,1
81,459229,0,1,65,1,Lawyer,1.0,Average,4.0,Cat_6,0
82,459236,0,1,78,0,Lawyer,0.0,High,2.0,Cat_6,3
83,459237,1,0,33,1,Artist,1.0,Low,6.0,Cat_6,4
84,459244,1,1,48,1,Artist,1.0,Low,1.0,Cat_6,2
85,459247,1,1,58,1,Executive,1.0,Average,5.0,Cat_6,0
87,459263,0,0,30,0,Healthcare,9.0,Low,4.0,Cat_6,1
88,459264,0,0,35,1,Artist,0.0,Low,2.0,Cat_6,5
89,459266,1,0,32,1,Healthcare,6.0,Low,5.0,Cat_6,1
90,459270,1,1,69,1,Homemaker,1.0,High,2.0,Cat_6,0
91,459284,0,1,71,1,Lawyer,1.0,High,2.0,Cat_6,0
92,459287,1,0,43,1,Lawyer,0.0,Low,1.0,Cat_4,5
93,459288,1,1,37,1,Artist,0.0,Low,2.0,Cat_6,5
94,459289,1,0,42,1,Doctor,0.0,Low,1.0,Cat_6,5
95,459290,0,1,70,1,Doctor,1.0,Average,2.0,Cat_6,0
96,459292,1,0,46,1,Artist,0.0,Low,2.0,Cat_6,2
98,459296,1,1,70,1,Artist,0.0,Average,2.0,Cat_6,0
100,459307,1,1,60,1,Entertainment,1.0,Low,1.0,Cat_6,0
101,459310,1,0,37,1,Entertainment,0.0,Low,2.0,Cat_2,5
102,459316,1,1,30,1,Healthcare,1.0,Low,2.0,Cat_6,4
103,459318,0,0,32,1,Engineer,1.0,Low,3.0,Cat_6,4
104,459320,1,1,26,1,Executive,0.0,Low,3.0,Cat_6,4
105,459322,1,0,42,1,Marketing,0.0,Low,1.0,Cat_6,5
108,459339,1,1,29,1,Healthcare,8.0,High,2.0,Cat_6,1
109,459344,0,1,88,1,Artist,1.0,High,2.0,Cat_6,3
110,459347,1,1,70,1,Lawyer,1.0,Low,1.0,Cat_6,0
111,459349,0,1,50,1,Artist,1.0,High,4.0,Cat_6,2
112,459352,1,1,43,1,Doctor,4.0,Average,4.0,Cat_3,5
113,459353,1,1,51,1,Artist,6.0,Average,2.0,Cat_6,2
118,459362,1,1,60,0,Executive,0.0,Low,2.0,Cat_6,0
119,459363,1,0,46,1,Artist,2.0,Low,1.0,Cat_6,2
120,459364,0,1,81,1,Marketing,0.0,Low,2.0,Cat_6,3
122,459375,1,1,22,0,Executive,0.0,High,4.0,Cat_6,3
123,459377,1,1,37,1,Artist,0.0,Average,3.0,Cat_6,5
124,459383,1,1,43,0,Engineer,0.0,Low,1.0,Cat_6,5
125,459384,1,1,50,1,Artist,1.0,Average,3.0,Cat_6,2
126,459385,0,1,35,1,Artist,1.0,Average,2.0,Cat_7,5
127,459386,1,1,65,0,Lawyer,1.0,High,2.0,Cat_6,0
128,459391,0,0,41,1,Engineer,0.0,Low,4.0,Cat_6,5
129,459394,1,0,28,0,Entertainment,8.0,Low,2.0,Cat_6,1
130,459397,1,1,55,1,Artist,4.0,Average,2.0,Cat_6,0
134,459405,0,1,78,0,Doctor,1.0,High,2.0,Cat_6,3
135,459407,0,0,35,1,Doctor,1.0,Low,3.0,Cat_6,5
136,459409,0,1,76,1,Lawyer,0.0,High,2.0,Cat_6,3
137,459410,0,1,88,1,Lawyer,1.0,High,2.0,Cat_6,3
